Key,TEST_RULE,SATR EBRW,SATR Math,SATR Total,ACT Composite,ACT English,ACT Combined English/Writing,ACT Math
048645,SAT2ACT,740,720,1460,29,34,,30
048655,SAT2ACT,,,,26,24,,28
048664,SAT2ACT,500,530,1030,23,19,,23
048665,SAT2ACT,,,,33,33,,33
048679,SAT2ACT,580,680,1240,,,,
048680,SAT2ACT,630,640,1270,,,,
048681,SAT2ACT,590,620,1180,26,28,,27
048682,SAT2ACT,,,,27,27,,32
048700,SAT2ACT,610,640,1200,26,24,,28
048703,SAT2ACT,,,,34,34,,34
048705,SAT2ACT,630,640,1270,,,,
048706,SAT2ACT,710,700,1410,32,34,,32
048717,SAT2ACT,610,500,1110,25,29,,19
048730,SAT2ACT,640,670,1310,,,,
048741,SAT2ACT,,,,25,32,,25
048766,SAT2ACT,640,620,1260,,,,
048891,SAT2ACT,730,700,1430,31,31,,27
048925,SAT2ACT,670,690,1350,,,,
048938,SAT2ACT,690,750,1440,,,,
048948,SAT2ACT,730,740,1460,,,,
048967,SAT2ACT,760,790,1510,33,30,,33
048989,SAT2ACT,570,650,1220,22,17,,27
048993,SAT2ACT,570,570,1140,22,22,,19
048998,SAT2ACT,640,680,1320,,,,
049005,SAT2ACT,,,,29,25,,29
049012,SAT2ACT,720,780,1470,33,34,,32
049026,SAT2ACT,690,690,1380,31,35,,28
049027,SAT2ACT,,,,29,35,,27
049045,SAT2ACT,680,720,1400,,,,
049047,SAT2ACT,,,,30,32,,30
049053,SAT2ACT,640,760,1390,31,30,,32
049064,SAT2ACT,700,640,1340,,,,
049070,SAT2ACT,640,650,1290,28,24,,28
049071,SAT2ACT,580,630,1180,,,,
049090,SAT2ACT,640,690,1290,,,,
049111,SAT2ACT,620,650,1270,28,28,,35
049144,SAT2ACT,,,,31,27,,27
049153,SAT2ACT,740,720,1460,,,,
049172,SAT2ACT,610,750,1360,27,24,,32
049181,SAT2ACT,750,730,1480,,,,
049189,SAT2ACT,640,700,1340,25,18,,29
049212,SAT2ACT,,,,33,35,,33
049217,SAT2ACT,670,690,1360,,,,
049221,SAT2ACT,590,660,1250,21,17,,27
049226,SAT2ACT,650,590,1240,,,,
049227,SAT2ACT,670,700,1370,,,,
049229,SAT2ACT,770,710,1480,,,,
049256,SAT2ACT,550,600,1150,,,,
049358,SAT2ACT,600,660,1260,,,,
049362,SAT2ACT,,,,29,32,,28
049389,,,,,,,,
049396,SAT2ACT,660,800,1460,,,,
049427,SAT2ACT,630,590,1210,,,,
049433,SAT2ACT,650,760,1390,,,,
049435,SAT2ACT,690,710,1400,,,,
049462,SAT2ACT,690,730,1400,,,,
049479,SAT2ACT,700,700,1400,,,,
049590,SAT2ACT,590,690,1280,26,24,,28
049593,SAT2ACT,,,,32,33,,34
049616,SAT2ACT,580,510,1080,,,,
049618,SAT2ACT,750,700,1450,33,35,,31
049620,SAT2ACT,670,710,1380,,,,
049622,SAT2ACT,650,690,1340,,,,
049625,SAT2ACT,700,650,1350,28,28,,27
049633,SAT2ACT,,,,35,36,,35
049640,SAT2ACT,600,780,1380,,,,
049653,SAT2ACT,690,710,1380,30,26,,30
049654,SAT2ACT,,,,32,30,,34
049663,SAT2ACT,610,740,1350,28,22,,30
049687,SAT2ACT,750,660,1410,,,,
049689,SAT2ACT,,,,30,33,,28
049691,SAT2ACT,730,690,1420,30,35,,29
049713,SAT2ACT,680,660,1310,,,,
049719,SAT2ACT,670,770,1420,,,,
049734,SAT2ACT,710,690,1400,33,35,,29
049735,SAT2ACT,,,,32,32,,33
049744,SAT2ACT,700,760,1460,34,35,,33
049746,SAT2ACT,620,710,1320,29,26,,35
049753,SAT2ACT,690,790,1480,32,30,,33
049763,SAT2ACT,530,600,1120,,,,
049796,SAT2ACT,,,,32,32,,28
049806,SAT2ACT,470,550,1010,,,,
049807,SAT2ACT,660,720,1380,,,,
049933,SAT2ACT,,,,28,26,,28
049950,SAT2ACT,,,,31,35,,33
049988,SAT2ACT,740,660,1350,,,,
049999,SAT2ACT,,,,28,30,,29
050007,SAT2ACT,,,,25,25,,24
050041,SAT2ACT,630,680,1300,27,26,,30
050052,SAT2ACT,610,610,1220,32,30,,29
050072,SAT2ACT,630,590,1220,,,,
050095,SAT2ACT,690,660,1340,29,31,,27
050096,SAT2ACT,620,670,1290,25,21,,27
050099,SAT2ACT,,,,24,24,,26
050103,SAT2ACT,560,540,1100,24,26,,24
050108,SAT2ACT,620,680,1300,,,,
050111,SAT2ACT,720,740,1420,,,,
050120,SAT2ACT,620,750,1370,27,25,,32
050131,SAT2ACT,690,760,1450,,,,
050141,SAT2ACT,550,540,1090,,,,
050143,SAT2ACT,660,780,1440,26,23,,33
050152,SAT2ACT,700,700,1400,32,29,,32
050156,SAT2ACT,690,780,1470,33,32,,34
050182,SAT2ACT,620,710,1330,28,23,,30
050192,SAT2ACT,670,740,1380,26,24,,31
050218,SAT2ACT,630,710,1340,25,21,,30
050222,SAT2ACT,570,620,1190,26,21,,26
050232,SAT2ACT,,,,33,31,,31
050234,SAT2ACT,610,700,1280,,,,
050239,SAT2ACT,620,500,1120,22,25,,22
050305,SAT2ACT,600,640,1240,27,26,,26
050350,SAT2ACT,560,540,1090,,,,
050378,SAT2ACT,630,770,1370,,,,
050386,SAT2ACT,,,,29,30,,30
050428,SAT2ACT,690,740,1390,,,,
050436,SAT2ACT,580,550,1120,23,24,,19
050443,SAT2ACT,,,,26,25,,26
050446,SAT2ACT,,,,31,29,,29
050457,SAT2ACT,,,,35,36,,31
050461,SAT2ACT,600,620,1220,25,28,,26
050462,SAT2ACT,680,710,1390,,,,
050487,SAT2ACT,630,790,1420,,,,
050529,SAT2ACT,680,760,1410,32,35,,33
050533,SAT2ACT,640,690,1330,,,,
050544,SAT2ACT,670,650,1310,,,,
