PUID_SIX,ACADEMIC_PERIOD,TRANSFER_COURSE_INSTITUTION,TRANSFER_COURSE_INST_DESC,COURSE_IDENTIFICATION,COURSE_TITLE_SHORT,TRANSFER_COURSE_IND,CREDITS_EARNED
133381,,,,,,,
133567,,,,,,,
133572,,,,,,,
133830,,,,,,,
134023,,,,,,,
134076,,,,,,,
134215,,,,,,,
134280,,,,,,,
134283,,,,,,,
134404,,,,,,,
134413,,,,,,,
134423,,,,,,,
134448,,,,,,,
134458,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
134576,,,,,,,
134707,,,,,,,
134791,,,,,,,
134962,,,,,,,
135016,,,,,,,
135227,,,,,,,
135545,,,,,,,
135570,,,,,,,
135789,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
135808,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
135834,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
135834,201930,99ADPL,Advance Placement - CEEB,MA16600,Analytc Geom & Calc II,Y,4
135843,,,,,,,
135846,,,,,,,
135852,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
135860,201910,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
135860,201910,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
135860,201930,99ADPL,Advance Placement - CEEB,MA16600,Analytc Geom & Calc II,Y,4
135860,201930,99ADPL,Advance Placement - CEEB,PHYS22100,Gen Physics,Y,4
135887,,,,,,,
135913,,,,,,,
135916,,,,,,,
135938,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
136000,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
136017,,,,,,,
136169,,,,,,,
136217,,,,,,,
136241,,,,,,,
136296,,,,,,,
136418,,,,,,,
136454,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
136454,201930,99ADPL,Advance Placement - CEEB,MA16600,Analytc Geom & Calc II,Y,4
136494,,,,,,,
136520,,,,,,,
136558,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
136767,,,,,,,
136827,,,,,,,
136890,,,,,,,
137079,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
137079,201930,99ADPL,Advance Placement - CEEB,MA16600,Analytc Geom & Calc II,Y,4
137079,201930,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
137079,201930,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics II,Y,4
137329,,,,,,,
137351,,,,,,,
137378,,,,,,,
137418,,,,,,,
137486,201930,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics C (Mechanics),Y,3
137651,,,,,,,
137659,,,,,,,
137741,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
137741,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus BC,Y,3
137759,,,,,,,
137768,201930,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics C (Mechanics),Y,3
137965,,,,,,,
137994,,,,,,,
138079,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus,Y,4
138135,,,,,,,
138141,,,,,,,
138152,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
138165,,,,,,,
138256,,,,,,,
138294,,,,,,,
138304,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
138305,,,,,,,
138510,,,,,,,
138524,201910,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
138524,201910,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics II,Y,4
138524,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
138524,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus BC,Y,3
138645,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
138645,201930,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics C (Mechanics),Y,3
138645,201930,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
138997,,,,,,,
139014,,,,,,,
139037,,,,,,,
139095,,,,,,,
139286,,,,,,,
139297,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
139297,201930,99ADPL,Advance Placement - CEEB,MA16600,Analytc Geom & Calc II,Y,4
139297,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
139397,,,,,,,
139420,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
139451,,,,,,,
139468,201930,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
139646,,,,,,,
139649,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
139649,201930,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
139701,,,,,,,
139702,,,,,,,
139728,,,,,,,
139749,,,,,,,
139797,,,,,,,
139825,,,,,,,
139832,,,,,,,
139891,,,,,,,
140091,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
140136,201910,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
140136,201910,99ADPL,Advance Placement - CEEB,MA16600,Analytc Geom & Calc II,Y,4
140136,201910,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
140142,201930,99ADPL,Advance Placement - CEEB,PHYS17200,Modern Mechanics,Y,4
140290,,,,,,,
140520,,,,,,,
140543,,,,,,,
140568,,,,,,,
140641,,,,,,,
