PUID_SIX,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,COURSE_IDENTIFICATION,COURSE_REFERENCE_NUMBER,Prior_Term_GPA_Term,Prior_Term_GPA_Term_Desc,Prior_Term_GPA_Term_Level,GPA
133361,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.25
133381,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.71818182
133567,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.44
133572,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,4
133830,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.325
134023,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.48
134076,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,1.75
134215,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,4
134280,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,2.39
134283,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.75
134404,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.78571429
134413,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.75294118
134423,202210,Fall 2021,PHYS17200,26931,,,,
134448,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.62307692
134458,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.56875
134576,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.25
134707,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,2.625
134791,202120,Spring 2021,PHYS22000,25708,,,Undergraduate,3.38461539
134962,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.925
135016,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,2.325
135227,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,1.93333333
135545,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.825
135570,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,2.60666667
135789,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,2.85
135808,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.4
135834,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,1.06875
135843,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.29285714
135846,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,2.12857143
135852,202120,Spring 2021,PHYS17200,28586,,,Undergraduate,3.14
135860,202210,Fall 2021,PHYS17200,26930,202110,Fall 2020,Undergraduate,0
135887,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,2.925
135913,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,2.98
135916,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,4
135938,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,2.6875
